LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1709872303.371979,731292.000,54060,1,GY,1,100,0.366
1709872303.411646,731331.667,54083,3,GY,1,100,0.977
1709872303.451312,731371.333,54083,3,GY,1,100,1.373
1709872303.490978,731411.000,54083,3,GY,1,100,0.549
1709872303.526977,731447.000,54099,3,GY,1,100,-0.214
1709872303.562976,731483.000,54099,3,GY,1,100,-0.427
1709872303.598975,731519.000,54099,3,GY,1,100,-0.488
1709872303.638975,731559.000,54115,2,GY,1,100,-0.427
1709872303.678974,731599.000,54115,2,GY,1,100,-0.793
1709872303.718973,731639.000,54134,3,GY,1,100,-0.214
1709872303.758973,731679.000,54134,3,GY,1,100,0.427
1709872303.798972,731719.000,54134,3,GY,1,100,-0.275
1709872303.838971,731759.000,54151,2,GY,1,100,-0.671
1709872303.878970,731799.000,54151,2,GY,1,100,-0.275
1709872303.918970,731839.000,54166,3,GY,1,100,-0.458
1709872303.958969,731879.000,54166,3,GY,1,100,-0.214
1709872303.998968,731919.000,54166,3,GY,1,100,0.000
1709872304.038968,731959.000,54182,3,GY,1,100,0.122
1709872304.078967,731999.000,54182,3,GY,1,100,0.397
1709872304.118966,732039.000,54182,3,GY,1,100,0.153
1709872304.158966,732079.000,54199,2,GY,1,100,-0.244
1709872304.198965,732119.000,54199,2,GY,1,100,-0.031
1709872304.238964,732159.000,54216,3,GY,1,100,0.061
1709872304.278963,732199.000,54216,3,GY,1,100,-0.153
1709872304.318963,732239.000,54216,3,GY,1,100,-0.366
1709872304.358962,732279.000,54231,2,GY,1,100,-0.336
1709872304.398961,732319.000,54231,2,GY,1,100,0.153
1709872304.438961,732359.000,54247,3,GY,1,100,0.214
1709872304.478960,732399.000,54247,3,GY,1,100,0.153
1709872304.518959,732439.000,54247,3,GY,1,100,0.244
1709872304.558958,732479.000,54265,2,GY,1,100,0.122
1709872304.598958,732519.000,54265,2,GY,1,100,0.122
1709872304.638957,732559.000,54281,3,GY,1,100,0.183
1709872304.678956,732599.000,54281,3,GY,1,100,-0.214
1709872304.718956,732639.000,54281,3,GY,1,100,0.183
1709872304.758955,732679.000,54296,2,GY,1,100,0.488
1709872304.798954,732719.000,54296,2,GY,1,100,0.153
1709872304.838953,732759.000,54313,3,GY,1,100,-0.214
1709872304.878953,732799.000,54313,3,GY,1,100,-0.153
1709872304.918952,732839.000,54313,3,GY,1,100,0.488
1709872304.958951,732879.000,54330,2,GY,1,100,-0.031
1709872304.998950,732919.000,54330,2,GY,1,100,-0.732
