LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1701221177.872430,2335125.000,55984,3,MZ,1,100,31
1701221177.872430,2335125.000,55984,3,MZ,1,100,33
1701221177.872430,2335125.000,55984,3,MZ,1,100,32
1701221177.912422,2335165.000,56001,2,MZ,1,100,32
1701221177.952414,2335205.000,56001,2,MZ,1,100,33
1701221177.992406,2335245.000,56017,3,MZ,1,100,32
1701221178.032398,2335285.000,56017,3,MZ,1,100,32
1701221178.072390,2335325.000,56017,3,MZ,1,100,32
1701221178.112382,2335365.000,56034,2,MZ,1,100,32
1701221178.152374,2335405.000,56034,2,MZ,1,100,32
1701221178.192366,2335445.000,56051,3,MZ,1,100,32
1701221178.232358,2335485.000,56051,3,MZ,1,100,34
1701221178.272350,2335525.000,56051,3,MZ,1,100,32
1701221178.312342,2335565.000,56067,2,MZ,1,100,31
1701221178.352334,2335605.000,56067,2,MZ,1,100,32
1701221178.392326,2335645.000,56082,3,MZ,1,100,33
1701221178.432318,2335685.000,56082,3,MZ,1,100,32
1701221178.472310,2335725.000,56082,3,MZ,1,100,32
1701221178.507636,2335760.333,56100,3,MZ,1,100,33
1701221178.542963,2335795.667,56100,3,MZ,1,100,32
1701221178.578289,2335831.000,56100,3,MZ,1,100,32
1701221178.618281,2335871.000,56116,2,MZ,1,100,32
1701221178.658273,2335911.000,56116,2,MZ,1,100,33
1701221178.698265,2335951.000,56133,3,MZ,1,100,32
1701221178.738257,2335991.000,56133,3,MZ,1,100,32
1701221178.778249,2336031.000,56133,3,MZ,1,100,32
1701221178.818241,2336071.000,56148,2,MZ,1,100,33
1701221178.858233,2336111.000,56148,2,MZ,1,100,32
1701221178.898225,2336151.000,56165,3,MZ,1,100,32
1701221178.938217,2336191.000,56165,3,MZ,1,100,33
1701221178.978209,2336231.000,56165,3,MZ,1,100,32
1701221179.018201,2336271.000,56181,3,MZ,1,100,32
1701221179.058193,2336311.000,56181,3,MZ,1,100,32
1701221179.098185,2336351.000,56181,3,MZ,1,100,32
1701221179.138177,2336391.000,56199,2,MZ,1,100,31
1701221179.178169,2336431.000,56199,2,MZ,1,100,33
1701221179.218161,2336471.000,56213,3,MZ,1,100,33
1701221179.258153,2336511.000,56213,3,MZ,1,100,33
1701221179.298145,2336551.000,56213,3,MZ,1,100,32
1701221179.338137,2336591.000,56230,2,MZ,1,100,32
1701221179.378129,2336631.000,56230,2,MZ,1,100,32
1701221179.418121,2336671.000,56246,3,MZ,1,100,32
1701221179.458113,2336711.000,56246,3,MZ,1,100,32
1701221179.498105,2336751.000,56246,3,MZ,1,100,33
1701221179.538097,2336791.000,56264,2,MZ,1,100,32
1701221179.578089,2336831.000,56264,2,MZ,1,100,32
1701221179.618081,2336871.000,56278,3,MZ,1,100,32
1701221179.658073,2336911.000,56278,3,MZ,1,100,31
1701221179.698065,2336951.000,56278,3,MZ,1,100,31
1701221179.738057,2336991.000,56295,2,MZ,1,100,33
1701221179.778049,2337031.000,56295,2,MZ,1,100,32
1701221179.818041,2337071.000,56315,4,MZ,1,100,33
1701221179.858033,2337111.000,56315,4,MZ,1,100,32
1701221179.898025,2337151.000,56315,4,MZ,1,100,33
1701221179.938017,2337191.000,56315,4,MZ,1,100,33
1701221179.978009,2337231.000,56332,2,MZ,1,100,32
1701221180.018001,2337271.000,56332,2,MZ,1,100,32
1701221180.057993,2337311.000,56348,3,MZ,1,100,33
1701221180.097985,2337351.000,56348,3,MZ,1,100,31
1701221180.137977,2337391.000,56348,3,MZ,1,100,32
1701221180.177969,2337431.000,56365,2,MZ,1,100,32
1701221180.217961,2337471.000,56365,2,MZ,1,100,32
1701221180.257953,2337511.000,56380,3,MZ,1,100,33
1701221180.297945,2337551.000,56380,3,MZ,1,100,32
1701221180.337937,2337591.000,56380,3,MZ,1,100,32
1701221180.377929,2337631.000,56397,3,MZ,1,100,32
1701221180.417921,2337671.000,56397,3,MZ,1,100,32
1701221180.457913,2337711.000,56397,3,MZ,1,100,32
1701221180.491407,2337744.500,56414,2,MZ,1,100,32
1701221180.524900,2337778.000,56414,2,MZ,1,100,32
1701221180.564892,2337818.000,56431,3,MZ,1,100,32
1701221180.604884,2337858.000,56431,3,MZ,1,100,32
1701221180.644876,2337898.000,56431,3,MZ,1,100,32
1701221180.684868,2337938.000,56445,2,MZ,1,100,32
1701221180.724860,2337978.000,56445,2,MZ,1,100,32
1701221180.764852,2338018.000,56463,3,MZ,1,100,33
1701221180.804844,2338058.000,56463,3,MZ,1,100,32
1701221180.844836,2338098.000,56463,3,MZ,1,100,33
1701221180.884828,2338138.000,56479,2,MZ,1,100,32
1701221180.924820,2338178.000,56479,2,MZ,1,100,34
1701221180.964812,2338218.000,56496,3,MZ,1,100,31
1701221181.004804,2338258.000,56496,3,MZ,1,100,32
1701221181.044796,2338298.000,56496,3,MZ,1,100,33
1701221181.084788,2338338.000,56510,3,MZ,1,100,32
1701221181.124780,2338378.000,56510,3,MZ,1,100,31
1701221181.164772,2338418.000,56510,3,MZ,1,100,32
1701221181.204764,2338458.000,56528,2,MZ,1,100,32
1701221181.244756,2338498.000,56528,2,MZ,1,100,32
1701221181.284748,2338538.000,56544,3,MZ,1,100,32
1701221181.324740,2338578.000,56544,3,MZ,1,100,32
1701221181.364732,2338618.000,56544,3,MZ,1,100,33
1701221181.404724,2338658.000,56565,2,MZ,1,100,32
1701221181.444716,2338698.000,56565,2,MZ,1,100,32
1701221181.484708,2338738.000,56580,3,MZ,1,100,33
1701221181.524700,2338778.000,56580,3,MZ,1,100,33
1701221181.564692,2338818.000,56580,3,MZ,1,100,31
1701221181.604684,2338858.000,56597,2,MZ,1,100,33
1701221181.644676,2338898.000,56597,2,MZ,1,100,31
1701221181.684668,2338938.000,56613,3,MZ,1,100,33
1701221181.724660,2338978.000,56613,3,MZ,1,100,32
1701221181.764652,2339018.000,56613,3,MZ,1,100,32
1701221181.804644,2339058.000,56631,2,MZ,1,100,32
1701221181.844636,2339098.000,56631,2,MZ,1,100,31
